model,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_f1_macro,std_f1_macro,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_neg_log_loss,std_neg_log_loss,mean_roc_auc_ovr_macro,std_roc_auc_ovr_macro,mean_top3_accuracy,std_top3_accuracy
lgbm,0.49748826300901283,0.0056009211441844465,0.4873058691306726,0.005694451141653886,0.4783730303667058,0.00540288055202007,0.47889553695874687,0.005448238256103413,0.4873058691306726,0.005694451141653886,-1.0165258124807584,0.005447983660579694,,,,
rf,0.5133276612166272,0.004335031121907577,0.46506020485001465,0.0037030464718504825,0.4456770613369866,0.004202125664799269,0.45647055261985275,0.005614515681574313,0.46506020485001465,0.0037030464718504825,-0.9891689159800856,0.005535048828572444,,,,
xgb,0.5216721537873766,0.003144097307554172,0.47089830842608177,0.0030028618919723435,0.44238697593711523,0.0027833576692164997,0.4603104008328218,0.005572382044023406,0.47089830842608177,0.0030028618919723435,-0.9762062675590057,0.006538097402368026,,,,
logreg_multinomial,0.45904602938294276,0.0053732445820645494,0.4361712071974731,0.007639710639360228,0.42942788530676185,0.006863108180648061,0.43107834635359443,0.007066948483482471,0.4361712071974731,0.007639710639360228,-1.0559069393626785,0.005922251524447854,,,,
hist_gbdt,0.5371061523433414,0.002951492727770466,0.48774906209065316,0.0027444543427146352,0.425261905048748,0.0038181142635899125,0.46376315205325264,0.009090851051048648,0.48774906209065316,0.0027444543427146352,-0.959663186711564,0.0058232313888020035,,,,
gbdt,0.5317591035463198,0.004200376449863766,0.47568021085549994,0.003967207547014012,0.4139277790912699,0.004386349378202545,0.4388237780986041,0.011457758648208412,0.47568021085549994,0.003967207547014012,-0.9652039226169153,0.0060696987012218255,,,,
